Kumulativt antall	Nye tilfeller
1	1
1	0
1	0
1	0
1	0
4	3
6	2
15	9
21	6
31	10
43	12
74	31
107	33
140	33
164	24
184	20
249	65
496	247
737	241
912	175
1118	206
1265	147
1365	100
1464	99
1644	180
1820	176
2033	213
2272	239
2580	308
2754	174
2902	148
3198	296
3511	313
3803	292
4100	297
4362	262
4528	166
4634	106
4898	264
5106	208
5304	198
5502	198
5666	164
5754	88
5826	72
5985	159
6125	140
6231	106
6334	103
6402	68
6511	109
6587	76
6664	77
6786	122
6889	103
6969	80
7077	108
7126	49
7162	36
7246	84
7324	78
7401	77
7470	69
7523	53
7548	25
7585	37
7656	71
7706	50
7745	39
7784	39
7827	43
7850	23
7894	44
7939	45
7982	43
8021	39
8050	29
8092	42
8103	11
8115	12
8138	23
8157	19
8176	19
8199	23
8221	22
8234	13
8238	4
8255	17
8275	20
8294	19
8308	14
8334	26
8340	6
8346	6
8364	18
8376	12
8394	18
8410	16
8426	16
8426	0
8432	6
8439	7
8470	31
8482	12
8499	17
8529	30
8537	8
8546	9
8564	18
8577	13
8591	14
