"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.959371185E2
1.023257000E0	9.959490967E2
2.046703000E0	9.959609985E2
3.069287000E0	9.959889221E2
4.092723000E0	9.960121155E2
5.116158000E0	9.960285187E2
5.267519000E0	9.960415649E2
6.214768000E0	9.960466003E2
7.162215000E0	9.960566711E2
8.109812000E0	9.960649872E2
9.057199000E0	9.960725403E2
1.000442300E1	9.960800171E2
1.095199300E1	9.960856628E2
1.190003500E1	9.960906219E2
1.284790000E1	9.960906219E2
1.379573700E1	9.960903931E2
1.474361800E1	9.960866547E2
1.569156800E1	9.960810089E2
1.663950500E1	9.960719299E2
1.758754200E1	9.960663605E2
1.853560700E1	9.960596466E2
1.948373800E1	9.960554504E2
2.043176700E1	9.960518646E2
2.137972900E1	9.960498810E2
2.232769500E1	9.960475922E2
2.327548200E1	9.960462189E2
2.422324100E1	9.960461426E2
2.517083000E1	9.960461426E2
2.611842500E1	9.960476685E2
2.706546500E1	9.960505676E2
2.801284500E1	9.960541534E2
2.896043700E1	9.960562134E2
2.990806300E1	9.960565948E2
3.085558600E1	9.960565948E2
3.180319300E1	9.960554504E2
3.275034700E1	9.960540771E2
3.369779000E1	9.960514069E2
3.464514200E1	9.960498810E2
3.559238400E1	9.960469818E2
3.653945200E1	9.960437012E2
3.748646700E1	9.960404205E2
3.843348700E1	9.960358429E2
3.938072000E1	9.960336304E2
4.032801000E1	9.960336304E2
4.127536000E1	9.960359955E2
4.222248500E1	9.960392761E2
4.316993400E1	9.960451508E2
4.411729400E1	9.960510254E2
4.506457400E1	9.960539246E2
4.601186000E1	9.960548401E2
4.695913200E1	9.960559845E2
4.790639600E1	9.960559845E2
4.885347700E1	9.960554504E2
4.980041000E1	9.960547638E2
5.074707600E1	9.960514832E2
5.169388600E1	9.960468292E2
5.264048000E1	9.960419464E2
5.358703000E1	9.960369873E2
5.453362800E1	9.960322571E2
5.548030200E1	9.960274506E2
5.642703400E1	9.960239410E2
5.737378300E1	9.960214996E2
5.832052400E1	9.960182953E2
5.926709200E1	9.960149384E2
6.021363500E1	9.960149384E2
6.115953500E1	9.960155487E2
6.210601800E1	9.960210419E2
6.305243900E1	9.960287476E2
6.399877500E1	9.960356903E2
6.494511800E1	9.960411072E2
6.589135800E1	9.960443115E2
6.683756300E1	9.960443115E2
6.778365800E1	9.960416412E2
6.872973100E1	9.960387421E2
6.967588700E1	9.960383606E2
7.062186300E1	9.960383606E2
7.156777000E1	9.960393524E2
7.251365700E1	9.960398865E2
7.345948900E1	9.960410309E2
7.440496000E1	9.960414886E2
7.535032800E1	9.960418701E2
7.629615600E1	9.960436249E2
