"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.959751129E2
1.018589000E0	9.959751129E2
2.037363000E0	9.959751129E2
3.056192000E0	9.959790039E2
4.073806000E0	9.959877014E2
5.092267000E0	9.959947968E2
5.250830000E0	9.959954071E2
6.194458000E0	9.959955597E2
7.137897000E0	9.959955597E2
8.081387000E0	9.959918976E2
9.024863000E0	9.959864807E2
9.968360000E0	9.959807587E2
1.091161500E1	9.959725952E2
1.185395600E1	9.959680939E2
1.279680700E1	9.959609985E2
1.373991600E1	9.959566498E2
1.468283700E1	9.959513855E2
1.562625900E1	9.959498596E2
1.656985400E1	9.959466553E2
1.751337500E1	9.959455872E2
1.845700400E1	9.959402466E2
1.940042100E1	9.959349823E2
2.034392400E1	9.959313965E2
2.128723500E1	9.959248352E2
2.223046400E1	9.959151459E2
2.317388100E1	9.959123230E2
2.411732300E1	9.959119415E2
2.506077500E1	9.959105682E2
2.600434500E1	9.959060669E2
2.694789200E1	9.959051514E2
2.789126000E1	9.959021759E2
2.883439300E1	9.958990479E2
2.977784200E1	9.958990479E2
3.072127100E1	9.959009552E2
3.166470400E1	9.959045410E2
3.260804200E1	9.959089661E2
3.355157000E1	9.959089661E2
3.449489900E1	9.959074402E2
3.543815300E1	9.959059906E2
3.638136800E1	9.959019470E2
3.732454500E1	9.958973694E2
3.826742800E1	9.958931732E2
3.921035400E1	9.958879089E2
4.015343900E1	9.958829498E2
4.109629900E1	9.958798981E2
4.203885400E1	9.958751678E2
4.298157200E1	9.958712769E2
4.392430900E1	9.958695221E2
4.486624300E1	9.958670807E2
4.580843500E1	9.958670807E2
4.675095900E1	9.958674622E2
4.769281300E1	9.958688354E2
4.863486300E1	9.958688354E2
4.957749200E1	9.958671570E2
5.051994500E1	9.958654785E2
5.146236400E1	9.958602142E2
5.240470900E1	9.958545685E2
5.334716500E1	9.958503723E2
5.428938100E1	9.958448792E2
5.523175500E1	9.958420563E2
5.617398400E1	9.958420563E2
5.711619500E1	9.958422089E2
5.805840000E1	9.958436584E2
5.900055600E1	9.958483124E2
5.994272100E1	9.958521271E2
6.088503000E1	9.958576965E2
6.182641200E1	9.958628082E2
6.276859000E1	9.958714294E2
6.371125400E1	9.958810425E2
6.465384200E1	9.958898926E2
6.559659500E1	9.958969879E2
6.653936400E1	9.959068298E2
6.748198500E1	9.959111786E2
